target_key,organ,number,year,title,official_url,status
36/1998,CONTRAN,36,1998,Sinalização de advertência para veículo imobilizado em situação de emergência,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucao-contran-no-36-de-21-de-maio-de-1998,current
110/2000,CONTRAN,110,2000,Calendário para renovação do licenciamento anual de veículos,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucao-contran-no-110-de-24-de-fevereiro-de-2000,current
432/2013,CONTRAN,432,2013,Procedimentos de fiscalização do consumo de álcool ou substância psicoativa por condutores,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/resolu-o-uo-432-2013c.pdf,current
508/2014,CONTRAN,508,2014,Requisitos de segurança para circulação precária de veículo de carga ou misto transportando passageiros no compartimento de cargas,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/resolucao5082014.pdf,current
525/2015,CONTRAN,525,2015,Fiscalização do tempo de direção do motorista profissional,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/resolucao5252015.pdf,current
723/2018,CONTRAN,723,2018,"Procedimento administrativo de suspensão do direito de dirigir, cassação da CNH e curso preventivo de reciclagem",https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/resolucao7232018.pdf,current
735/2018,CONTRAN,735,2018,Requisitos de segurança para CTV e CTVP,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/resolucao7352018.pdf,current
798/2020,CONTRAN,798,2020,Requisitos técnicos mínimos para fiscalização da velocidade,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/resolucao798-2020.pdf,current
809/2020,CONTRAN,809,2020,"Requisitos para emissão do CRV, CLA e comprovante de transferência de propriedade em meio digital",https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao8092020.pdf,current
810/2020,CONTRAN,810,2020,"Classificação de danos e procedimentos para regularização, transferência e baixa de veículos envolvidos em acidentes",https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao8102020.pdf,current
