exam_key,year,exam_label,phase,item,classification,primary_norm_at_exam,secondary_norms_at_exam,edital_2021_equivalent_norm,topic_id,tema_especifico,current_norm_reference,confidence,notes
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,56,CTB/lei correlata,CTB art. 61,,,ctb_lei,Velocidade máxima em rodovia de via dupla rural sem sinalização,CTB art. 61,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,57,CTB/lei correlata,CTB; verificar possível interface com normas de vidros,,,ctb_lei,Uso de cortinas em áreas envidraçadas / espelhos retrovisores,CTB; verificar possível interface com normas de vidros,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,58,CTB/lei correlata,CTB,,,ctb_lei,Acidente sem vítima; obrigação de não preservar local para evitar risco/obstrução,CTB,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,59,CTB/lei correlata,Lei 5.970/1973 e CTB,,,ctb_lei,Remoção de veículos em acidente com vítima após socorro e perícia,Lei 5.970/1973 e CTB,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,60,CTB/lei correlata,CTB,,,ctb_lei,Requisito pessoal para habilitação; imputabilidade penal,CTB,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,61,resolucao_contran,Resolução CONTRAN 471/2013,,471/2013,videomonitoramento,Fiscalização por videomonitoramento; sinalização; campo observações do AIT,Resolução CONTRAN 909/2022,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,62,resolucao_contran,Resolução CONTRAN 809/2020,,809/2020,crlv_e,CRLV-e; CRV; CLA; emissão em meio digital,"Resolução CONTRAN 809/2020, com alterações",alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,63,resolucao_contran,Resolução CONTRAN 806/2020,,806/2020,campanha_educativa_2021,Campanha educativa de trânsito de 2021; objetivos mensais,Tema anual; não usar norma atual fixa sem calendário do edital,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,64,resolucao_contran,Resolução CONTRAN 798/2020,,798/2020,medidores_velocidade,Medidores de velocidade; tipo fixo; display,Resolução CONTRAN 798/2020,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,65,resolucao_contran,Resolução CONTRAN 780/2019,,780/2019,piv,Placa de Identificação Veicular; segunda PIV traseira,Resolução CONTRAN 969/2022,alta,
