question_id,card_key,link_type,display_mode,auto_show_as_primary,needs_human_review,precision,score,current_law_status,current_law_can_auto_score,current_law_answer,matched_terms,matched_terms_in_statement,assunto,reason,warning
28104,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,216,not_applicable_or_not_outdated,,,escolares; conducao de escolares; categoria d,escolares; categoria d,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
480278,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,218,not_applicable_or_not_outdated,,,escolares; conducao de escolares; categoria d; curso especializado,escolares,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
915575,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,248,not_applicable_or_not_outdated,,,escolares; conducao de escolares; categoria d; curso especializado,escolares; conducao de escolares; categoria d; curso especializado,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
937071,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,204,not_applicable_or_not_outdated,,,escolares; conducao de escolares,escolares; conducao de escolares,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1005454,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,194,not_applicable_or_not_outdated,,,escolares; conducao de escolares,escolares,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1028000,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,194,not_applicable_or_not_outdated,,,escolares; conducao de escolares,escolares,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1212301,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,194,not_applicable_or_not_outdated,,,escolares; conducao de escolares,escolares,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1490456,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,248,not_applicable_or_not_outdated,,,escolares; conducao de escolares; categoria d; curso especializado,escolares; conducao de escolares; categoria d; curso especializado,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1490458,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,270,not_applicable_or_not_outdated,,,escolares; conducao de escolares; categoria d; 21 anos; curso especializado,escolares; conducao de escolares; categoria d; 21 anos; curso especializado,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1502065,ctb_escolares,specific_high_precision,suggested_card_needs_review,False,True,comment_or_subject_evidence_only,184,not_applicable_or_not_outdated,,,escolares; conducao de escolares,,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.,
1521265,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,228,not_applicable_or_not_outdated,,,escolares; conducao de escolares; categoria d; curso especializado,escolares; conducao de escolares,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1545045,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,194,not_applicable_or_not_outdated,,,escolares; conducao de escolares,escolares,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
