assunto,total,auto_show_as_primary,needs_human_review,specific_high_precision,specific_medium_precision,subject_overview_fallback
Demais Resoluções CONTRAN,181,117,60,176,1,4
Das Infrações (arts. 161 a 255 da Lei nº 9.503/1997),101,41,19,60,0,41
Volume III - Sinalização Vertical de Indicação (Anexo III da Res. CONTRAN nº 973/2022),92,88,4,92,0,0
Sinais Sonoros (Antiga Res. CONTRAN 160/2004),90,88,0,88,0,2
Das Normas Gerais de Circulação e Conduta (arts. 26 a 67 da Lei nº 9.503/1997),80,36,6,42,0,38
Resolução CONTRAN nº 985/2022 - Manual Brasileiro de Fiscalização de Trânsito,74,4,0,4,0,70
Resolução CONTRAN nº 882/2021 - Limites de Peso e Dimensões que Transitem por Vias Terrestres,69,51,18,69,0,0
Do Sistema Nacional de Trânsito (arts. 5º a 25 da Lei nº 9.503/1997),66,56,5,60,1,5
Volume II - Sinalização Vertical de Advertência (Anexo II da Res. CONTRAN nº 973/2022),61,59,2,61,0,0
Volume I - Sinalização Vertical de Regulamentação (Anexo I da Res. CONTRAN nº 973/2022),58,57,1,58,0,0
Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),51,33,15,48,0,3
Do Processo Administrativo (arts. 280 a 290 da Lei nº 9.503/1997),44,37,6,43,0,1
Volume IV - Sinalização Horizontal (Anexo IV da Res. CONTRAN nº 973/2022),44,41,3,44,0,0
Das Penalidades (arts. 256 a 268-A da Lei nº 9.503/1997),42,22,7,29,0,13
Resolução CONTRAN nº 960/2022 - Requisitos de Segurança de Vidros e Outros,42,41,1,42,0,0
Disposições Finais e Transitórias do CTB (arts. 313 a 341 da Lei nº 9.503/1997),41,4,1,4,1,36
Resolução CONTRAN nº 993/2023 - Equipamentos Obrigatórios para a Frota de Veículos em Circulação,38,19,4,23,0,15
"Resolução CONTRAN nº 623/2016 - Remoção, Custódia e Leilão de Veículos Removidos e Recolhidos",37,36,1,37,0,0
Resolução CONTRAN nº 432/2013 - Consumo de Álcool ou de Outra Substância Psicoativa,34,33,1,34,0,0
Dos Veículos (arts. 96 a 117 da Lei nº 9.503/1997),31,15,6,21,0,10
Das Medidas Administrativas (arts. 269 a 279 da Lei nº 9.503/1997),30,10,8,18,0,12
Resolução CONTRAN nº 789/2020 - Formação de Condutores de Veículos Automotores e Elétricos,27,23,4,27,0,0
Resolução CONTRAN nº 24/1998 - Critério de Identificação de Veículos,26,23,0,23,0,3
Resolução CONTRAN nº 941/2022 - Prestação dos Serviços de Vistoria Veicular,26,23,3,26,0,0
Resolução CONTRAN nº 969/2022 - Sistema de Placas de Identificação de Veículos (PIV),25,25,0,25,0,0
Resolução CONTRAN nº 957/2022 - Requisitos para Registro e Licenciamento de Veículo de Coleção,24,24,0,24,0,0
Resolução CONTRAN nº 508/2014 - Requisitos de Segurança para a Circulação de Veículo de Carga,23,4,19,23,0,0
Gestos (Antiga Res. CONTRAN nº 160/2004),22,22,0,22,0,0
Tópicos Mesclados de Sinalização de Trânsito,22,1,1,2,0,20
Volume V - Sinalização Semafórica (Anexo V da Res. CONTRAN nº 973/2022),22,20,2,22,0,0
Do Registro de Veículos (arts. 120 e 129-B da Lei nº 9.503/1997),21,14,1,15,0,6
"Resolução CONTRAN nº 927/2022 - Exame de Aptidão, Avaliação Psicológica e Credenciamento",21,14,7,21,0,0
Volume VI - Dispositivos Auxiliares (Anexo VI da Res. CONTRAN nº 973/2022),21,12,9,21,0,0
Resolução CONTRAN nº 300/2008 - Proc. Adm. de Exames Pós-Condenação por Crime de Trânsito e Outros,20,18,2,20,0,0
Resolução CONTRAN nº 723/2018 - Processo de suspensão e cassação do direito de dirigir,20,15,5,20,0,0
Resolução CONTRAN nº 798/2020 - Fiscalização de Velocidade,19,12,7,19,0,0
Resolução CONTRAN nº 965/2022 - Áreas de Segurança e de Estacionamento Específicos de Veículos,19,16,3,19,0,0
Da Sinalização de Trânsito (arts. 80 a 90 da Lei nº 9.503/1997),18,10,2,12,0,6
Do Licenciamento (arts. 130 e 135 da Lei nº 9.503/1997),17,8,5,13,0,4
Resolução CONTRAN nº 809/2020 - CRLV-e e ATPV-e,17,10,7,17,0,0
Dos Conceitos e Definições (Anexo I da Lei nº 9.503/1997),16,12,4,16,0,0
Resolução CONTRAN nº 810/2020 - Classificação de Danos de Veículos Envolvidos em Acidentes e Outros,16,15,1,16,0,0
Resolução CONTRAN nº 967/2022 - Critérios para a Baixa do Registro de Veículos,16,3,12,15,0,1
"Resolução CONTRAN nº 970/2022 - Sistemas de Sinalização, Iluminação e Uso de Lanternas Especiais",16,16,0,16,0,0
Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),15,14,1,15,0,0
Do Cidadão e Educação para o Trânsito (arts 72 a 79 da Lei nº 9.503/1997),15,7,3,8,2,5
Resolução CONTRAN nº 819/2021 - Transporte de Crianças em Veículos,15,15,0,15,0,0
Resolução CONTRAN nº 735/2018 - Requisitos de Segurança Necessários à Circulação de CTV e CTVP,13,13,0,13,0,0
Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),12,12,0,12,0,0
Disposições Preliminares (arts. 1º a 4º da Lei nº 9.503/1997),12,0,1,1,0,11
Resolução CONTRAN nº 36/1998 - Sinalização de Advertência para os veículos Estiverem Imobilizados,12,11,1,12,0,0
Resolução CONTRAN nº 870/2021 - Plano Nacional de Redução de Mortes e Lesões no Trânsito (PNATRANS),12,11,1,12,0,0
Dos Pedestres e Veículos Não-Motorizados (arts. 68 a 71 da Lei nº 9.503/1997),11,10,1,11,0,0
"Engenharia de Tráfego, Operação, Fiscalização e Policiamento Ostensivo de Trânsito (arts. 91 a 95)",11,1,0,1,0,10
Resolução CONTRAN nº 911/2022 - Permissão para Trânsito de Veículos Novos e Usados Incompletos,11,4,7,11,0,0
Tópicos Mesclados do CTB (Lei nº 9.503/1997),11,1,3,3,1,7
Resolução CONTRAN nº 525/2015 - Fiscalização do Tempo de Direção Profissional,10,9,1,10,0,0
Resolução CONTRAN nº 918/2022 - Procedimentos para Aplicação de Multas por Infrações,10,6,4,10,0,0
Dos Veículos em Circulação Internacional (arts. 118 e 119 da Lei nº 9.503/1997),9,0,0,0,0,9
Resolução CONTRAN nº 514/2014 - Política Nacional de Trânsito,8,7,1,8,0,0
Resolução CONTRAN nº 909/2022 - Fiscalização de Trânsito por Intermédio de Videomonitoramento,8,8,0,8,0,0
Resolução CONTRAN nº 110/2000 - Renovação do Licenciamento Anual de Veículos,6,6,0,6,0,0
Outros Temas da Legislação de Trânsito,5,0,0,0,0,5
Resolução CONTRAN nº 1.017/2024 - Critérios para o Registro e Circulação em Vias Públicas de Tratores e Outros,4,1,0,1,0,3
Resolução CONTRAN nº 26/1998 - Transporte de carga em veículo de transporte de passageiros,3,1,0,1,0,2
Lei nº 9.654/1998 - Carreira do Policial Rodoviário,2,0,0,0,0,2
Volume VII - Sinalização Temporária (Anexo VII da Res. CONTRAN nº 973/2022),2,0,0,0,0,2
Resolução CONTRAN nº 351/2010 - Procedimentos para Veiculação de Mensagens Educativas de Trânsito,1,0,1,0,1,0
Resolução CONTRAN nº 573/2015 - Quadriciclos,1,0,0,0,0,1
Resolução CONTRAN nº 973/2022 - Institui o Regulamento de Sinalização Viária,1,0,0,0,0,1
