question_id,desatualizada,generation_policy,assunto,type_question,historical_answer,current_law_status,current_answer,claim_terms
1577067,True,outdated_needs_current_law_audit_before_publish,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),CERTO_ERRADO,E,needs_audit,,
42747,True,outdated_needs_current_law_audit_before_publish,Das Normas Gerais de Circulação e Conduta (arts. 26 a 67 da Lei nº 9.503/1997),MULTIPLA_ESCOLHA,CERTO,needs_audit,,baixa; pisca-alerta; luz baixa; luz alta
533485,True,outdated_needs_current_law_audit_before_publish,Das Normas Gerais de Circulação e Conduta (arts. 26 a 67 da Lei nº 9.503/1997),MULTIPLA_ESCOLHA,B,needs_audit,,baixa; luz baixa; buzina
1572194,True,outdated_needs_current_law_audit_before_publish,Das Normas Gerais de Circulação e Conduta (arts. 26 a 67 da Lei nº 9.503/1997),MULTIPLA_ESCOLHA,,needs_audit,,pisca-alerta; buzina
27886,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,MULTIPLA_ESCOLHA,A,needs_audit,,infração; multa; retenção
70196,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,CERTO_ERRADO,ERRADO,needs_audit,,habilitação
174567,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,MULTIPLA_ESCOLHA,E,needs_audit,,habilitação
254765,True,outdated_verified_generate_current_law_card,Demais Resoluções CONTRAN,CERTO_ERRADO,CERTO,verified,CERTO,capacete; viseira; sinalização
254775,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,CERTO_ERRADO,ERRADO,needs_audit,,habilitação; infração; álcool
305781,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,MULTIPLA_ESCOLHA,C,needs_audit,,50%
306145,True,outdated_verified_generate_current_law_card,Demais Resoluções CONTRAN,MULTIPLA_ESCOLHA,B,verified,B,capacete; viseira
368018,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,MULTIPLA_ESCOLHA,B,needs_audit,,categoria d
434582,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,MULTIPLA_ESCOLHA,A,needs_audit,,dimensões; sinalização
477779,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,MULTIPLA_ESCOLHA,A,needs_audit,,
519124,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,MULTIPLA_ESCOLHA,B,needs_audit,,habilitação
589275,True,outdated_discard_do_not_generate_study_card,Demais Resoluções CONTRAN,MULTIPLA_ESCOLHA,,discard,,
624737,True,outdated_verified_generate_current_law_card,Demais Resoluções CONTRAN,MULTIPLA_ESCOLHA,,verified,C,Resolução nº 453/2013; capacete
624802,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,MULTIPLA_ESCOLHA,A,needs_audit,,Resolução nº 205/2006; habilitação
778177,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,CERTO_ERRADO,E,needs_audit,,
778178,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,CERTO_ERRADO,E,needs_audit,,60%
778183,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,CERTO_ERRADO,E,needs_audit,,
778184,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,CERTO_ERRADO,,needs_audit,,
778187,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,CERTO_ERRADO,E,needs_audit,,
778188,True,outdated_needs_current_law_audit_before_publish,Demais Resoluções CONTRAN,CERTO_ERRADO,C,needs_audit,,
778189,True,outdated_verified_generate_current_law_card,Demais Resoluções CONTRAN,CERTO_ERRADO,C,verified,CERTO,capacete; viseira
